BENCH	ENGINE	SPLIT	CACHE_MODE	TOTAL	HIT	MISS	RATE
job	duckdb	topdown	single-run-strict	568	132	436	23.2%
job	duckdb	topdown	single-run-parameterized	568	167	401	29.4%
job	duckdb	topdown	single-run-template	568	282	286	49.6%
job	duckdb	none	single-run-strict	113	0	113	0.0%
job	duckdb	none	single-run-parameterized	113	14	99	12.4%
job	duckdb	none	single-run-template	113	14	99	12.4%
dsb_50	duckdb	node-based	single-run-strict	37	7	30	18.9%
dsb_50	duckdb	node-based	single-run-parameterized	37	8	29	21.6%
dsb_50	duckdb	node-based	single-run-template	37	8	29	21.6%
dsb_50	duckdb	none	single-run-strict	6	0	6	0.0%
dsb_50	duckdb	none	single-run-parameterized	6	0	6	0.0%
dsb_50	duckdb	none	single-run-template	6	0	6	0.0%
job	postgres	node-based	single-run-strict	431	76	355	17.6%
job	postgres	node-based	single-run-parameterized	431	106	325	24.6%
job	postgres	node-based	single-run-template	431	213	218	49.4%
dsb_50	postgres	node-based	single-run-strict	12	2	10	16.7%
dsb_50	postgres	node-based	single-run-parameterized	12	3	9	25.0%
dsb_50	postgres	node-based	single-run-template	12	3	9	25.0%
