query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000004,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000031,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004741,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.056423,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000202,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000229,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005271,112
10a.sql,0,7,FILTER,FILTER,0.000113,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000012,136
10a.sql,0,9,FILTER,FILTER,0.031396,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.431574,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003845,4539
10a.sql,0,8,FILTER,FILTER,0.003969,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.093423,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010769,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030853,2291098
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003585,1361
10a.sql,0,6,FILTER,FILTER,0.000021,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000191,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000213,2
# iter-2
10a.sql,0,0,,INVALID,0.000018,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000036,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004472,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.058424,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000220,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000226,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.004844,112
10a.sql,0,7,FILTER,FILTER,0.000116,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000012,136
10a.sql,0,9,FILTER,FILTER,0.031671,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.423675,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003879,4539
10a.sql,0,8,FILTER,FILTER,0.003974,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.091986,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010787,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.031289,2291019
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.004448,1361
10a.sql,0,6,FILTER,FILTER,0.000018,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000394,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000243,2
# iter-3
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000048,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000011,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004223,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.053164,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000209,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000194,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005076,112
10a.sql,0,7,FILTER,FILTER,0.000102,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000012,136
10a.sql,0,9,FILTER,FILTER,0.032083,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.435356,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003694,4539
10a.sql,0,8,FILTER,FILTER,0.004289,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.096518,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010533,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.032816,2296579
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003739,1361
10a.sql,0,6,FILTER,FILTER,0.000024,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000174,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000233,2
# iter-4
10a.sql,0,0,,INVALID,0.000004,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000035,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004564,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.057584,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000199,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000214,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005274,112
10a.sql,0,7,FILTER,FILTER,0.000132,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000012,136
10a.sql,0,9,FILTER,FILTER,0.030860,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.441197,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.004000,4539
10a.sql,0,8,FILTER,FILTER,0.004049,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.096519,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010811,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030980,2291019
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003664,1361
10a.sql,0,6,FILTER,FILTER,0.000022,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000220,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000244,2
# iter-5
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000053,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004594,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.056702,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000200,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000230,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005511,112
10a.sql,0,7,FILTER,FILTER,0.000113,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000012,136
10a.sql,0,9,FILTER,FILTER,0.031721,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.432469,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003960,4539
10a.sql,0,8,FILTER,FILTER,0.003914,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.093726,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010526,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030538,2291019
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003634,1361
10a.sql,0,6,FILTER,FILTER,0.000020,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000422,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000211,2
# iter-6
10a.sql,0,0,,INVALID,0.000006,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000034,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004330,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.056030,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000204,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000216,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005077,112
10a.sql,0,7,FILTER,FILTER,0.000110,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000011,136
10a.sql,0,9,FILTER,FILTER,0.031532,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.433580,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003540,4539
10a.sql,0,8,FILTER,FILTER,0.004333,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.097413,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010492,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030789,2291098
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003952,1361
10a.sql,0,6,FILTER,FILTER,0.000019,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000349,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000195,2
# iter-7
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000031,1
