query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000004,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000040,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000007,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.005228,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.055955,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000205,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000203,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.004977,112
10a.sql,0,7,FILTER,FILTER,0.000130,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000006,136
10a.sql,0,9,FILTER,FILTER,0.031054,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.444863,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003829,4539
10a.sql,0,8,FILTER,FILTER,0.004074,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.097533,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010718,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.031303,2296579
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003689,1361
10a.sql,0,6,FILTER,FILTER,0.000010,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000205,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000213,2
# iter-2
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000038,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004530,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.056839,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000190,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000276,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005876,112
10a.sql,0,7,FILTER,FILTER,0.000119,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000007,136
10a.sql,0,9,FILTER,FILTER,0.031024,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.432813,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.004271,4539
10a.sql,0,8,FILTER,FILTER,0.004715,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.097510,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010784,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030741,2291083
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003813,1361
10a.sql,0,6,FILTER,FILTER,0.000009,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000227,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000359,2
# iter-3
10a.sql,0,0,,INVALID,0.000007,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000043,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004519,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.054148,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000197,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000236,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005996,112
10a.sql,0,7,FILTER,FILTER,0.000123,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000006,136
10a.sql,0,9,FILTER,FILTER,0.031004,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.434480,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003841,4539
10a.sql,0,8,FILTER,FILTER,0.004061,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.098638,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010511,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.031573,2296621
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.004907,1361
10a.sql,0,6,FILTER,FILTER,0.000009,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000213,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000309,2
# iter-4
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000048,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004980,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.056738,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000186,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000210,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.004946,112
10a.sql,0,7,FILTER,FILTER,0.000112,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000005,136
10a.sql,0,9,FILTER,FILTER,0.031138,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.431764,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003523,4539
10a.sql,0,8,FILTER,FILTER,0.004268,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.097000,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.011265,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.031095,2291019
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.006523,1361
10a.sql,0,6,FILTER,FILTER,0.000010,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000341,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000489,2
# iter-5
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000039,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000007,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004904,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.057775,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000224,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000226,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.007027,112
10a.sql,0,7,FILTER,FILTER,0.000123,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000007,136
10a.sql,0,9,FILTER,FILTER,0.030867,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.433113,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003738,4539
10a.sql,0,8,FILTER,FILTER,0.004056,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.096992,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010296,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.031812,2291098
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003717,1361
10a.sql,0,6,FILTER,FILTER,0.000010,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000217,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000210,2
# iter-6
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000039,1
10a.sql,0,2,PROJECTION,PROJECTION,0.000006,104
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004366,104
10a.sql,0,4,SEQ_SCAN,TABLE_SCAN,0.055605,2025
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.000215,112
10a.sql,0,5,HASH_JOIN,HASH_JOIN,0.000221,112
10a.sql,0,6,HASH_JOIN,HASH_JOIN,0.005879,112
10a.sql,0,7,FILTER,FILTER,0.000117,136
10a.sql,0,8,PROJECTION,PROJECTION,0.000007,136
10a.sql,0,9,FILTER,FILTER,0.031193,136
10a.sql,0,10,SEQ_SCAN,TABLE_SCAN,0.436400,81179
10a.sql,0,7,HASH_JOIN,HASH_JOIN,0.003538,4539
10a.sql,0,8,FILTER,FILTER,0.004131,5279
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.097121,5279
10a.sql,0,8,HASH_JOIN,HASH_JOIN,0.010248,8790
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.030246,2296579
10a.sql,0,9,SEQ_SCAN,TABLE_SCAN,0.003756,1361
10a.sql,0,6,FILTER,FILTER,0.000013,1
10a.sql,0,7,SEQ_SCAN,TABLE_SCAN,0.000398,1
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.000419,2
# iter-7
10a.sql,0,0,,INVALID,0.000005,0
10a.sql,0,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000036,1
