query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000190,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000008,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000137,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003882,4539
10a.sql,0,4,FILTER,FILTER,0.004083,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000709,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.091870,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010472,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.032780,2291019
10a.sql,0,5,PROJECTION,PROJECTION,0.000021,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003717,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000210,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000051,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000011,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004657,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.067454,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000153,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001527,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000056,25874
10a.sql,1,7,FILTER,FILTER,0.160593,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.357617,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000007,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000026,4539
10a.sql,1,5,FILTER,FILTER,0.000020,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000001,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000093,1
# iter-2
10a.sql,0,0,,INVALID,0.000180,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000007,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000151,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003885,4539
10a.sql,0,4,FILTER,FILTER,0.003979,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000706,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.093929,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010576,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.031913,2291019
10a.sql,0,5,PROJECTION,PROJECTION,0.000022,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003661,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000213,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000041,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000010,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004522,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.065775,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000134,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001467,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000052,25874
10a.sql,1,7,FILTER,FILTER,0.158896,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.355497,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000005,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000021,4539
10a.sql,1,5,FILTER,FILTER,0.000015,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000001,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000342,1
# iter-3
10a.sql,0,0,,INVALID,0.000227,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000008,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000152,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003763,4539
10a.sql,0,4,FILTER,FILTER,0.004090,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000692,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.095119,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010461,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.029955,2291140
10a.sql,0,5,PROJECTION,PROJECTION,0.000022,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003732,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000211,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000040,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004862,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.064768,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000150,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001381,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000056,25874
10a.sql,1,7,FILTER,FILTER,0.157672,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.356380,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000003,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000018,4539
10a.sql,1,5,FILTER,FILTER,0.000018,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000001,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000364,1
# iter-4
10a.sql,0,0,,INVALID,0.000207,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000009,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000152,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004079,4539
10a.sql,0,4,FILTER,FILTER,0.003876,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000664,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.091803,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010676,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030186,2291083
10a.sql,0,5,PROJECTION,PROJECTION,0.000021,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003593,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000210,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000037,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004623,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.069551,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000146,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001418,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000055,25874
10a.sql,1,7,FILTER,FILTER,0.157772,25874
