query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000196,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000007,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000146,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003700,4539
10a.sql,0,4,FILTER,FILTER,0.003787,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000677,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.093378,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010525,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030460,2291410
10a.sql,0,5,PROJECTION,PROJECTION,0.000021,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003567,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000208,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000039,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000010,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004696,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.066565,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000139,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001312,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000055,25874
10a.sql,1,7,FILTER,FILTER,0.159399,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.355462,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000003,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000018,4539
10a.sql,1,5,FILTER,FILTER,0.000016,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000001,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000192,1
# iter-2
10a.sql,0,0,,INVALID,0.000176,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000143,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003864,4539
10a.sql,0,4,FILTER,FILTER,0.003658,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000636,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.088261,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010584,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030683,2291019
10a.sql,0,5,PROJECTION,PROJECTION,0.000022,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003700,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000238,2
10a.sql,1,0,,INVALID,0.000005,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000036,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000010,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004417,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.065837,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000146,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001344,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000055,25874
10a.sql,1,7,FILTER,FILTER,0.157949,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.357592,12669571
