query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000182,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000133,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003708,4539
10a.sql,0,4,FILTER,FILTER,0.003842,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000389,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.091806,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010653,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030897,2291410
10a.sql,0,5,PROJECTION,PROJECTION,0.000013,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003767,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000211,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000039,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004596,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.064104,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000137,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001401,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000032,25874
10a.sql,1,7,FILTER,FILTER,0.158931,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.358257,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000019,4539
10a.sql,1,5,FILTER,FILTER,0.000016,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000179,1
# iter-2
10a.sql,0,0,,INVALID,0.000180,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000004,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000126,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003825,4539
10a.sql,0,4,FILTER,FILTER,0.003938,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000364,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.090392,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010448,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.029697,2291341
10a.sql,0,5,PROJECTION,PROJECTION,0.000014,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003590,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000241,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000042,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004693,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.068980,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000130,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001371,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000033,25874
10a.sql,1,7,FILTER,FILTER,0.159900,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.362162,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000019,4539
10a.sql,1,5,FILTER,FILTER,0.000018,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000118,1
# iter-3
10a.sql,0,0,,INVALID,0.000223,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000142,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003572,4539
10a.sql,0,4,FILTER,FILTER,0.004079,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000388,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.093641,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010592,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030139,2291341
10a.sql,0,5,PROJECTION,PROJECTION,0.000013,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003602,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000224,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000041,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004720,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.066254,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000139,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001379,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000032,25874
10a.sql,1,7,FILTER,FILTER,0.159880,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.358948,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000019,4539
10a.sql,1,5,FILTER,FILTER,0.000017,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000143,1
# iter-4
10a.sql,0,0,,INVALID,0.000202,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000143,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003810,4539
10a.sql,0,4,FILTER,FILTER,0.003977,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000379,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.091087,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010642,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030366,2291341
10a.sql,0,5,PROJECTION,PROJECTION,0.000015,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003655,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000261,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000043,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004622,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.070206,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000148,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001426,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000033,25874
10a.sql,1,7,FILTER,FILTER,0.158662,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.359860,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000019,4539
10a.sql,1,5,FILTER,FILTER,0.000021,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000103,1
# iter-5
10a.sql,0,0,,INVALID,0.000214,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000153,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003645,4539
10a.sql,0,4,FILTER,FILTER,0.004043,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000359,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.096525,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010785,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030657,2291341
10a.sql,0,5,PROJECTION,PROJECTION,0.000016,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.004415,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000227,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000040,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000009,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004639,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.066406,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000131,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001414,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000032,25874
10a.sql,1,7,FILTER,FILTER,0.158188,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.354096,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000020,4539
10a.sql,1,5,FILTER,FILTER,0.000016,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000103,1
# iter-6
10a.sql,0,0,,INVALID,0.000201,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000139,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004238,4539
10a.sql,0,4,FILTER,FILTER,0.004240,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000382,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.094803,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010741,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.029455,2291019
10a.sql,0,5,PROJECTION,PROJECTION,0.000015,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003771,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000223,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000043,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000010,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004640,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.067020,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000150,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001426,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000033,25874
10a.sql,1,7,FILTER,FILTER,0.160841,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.359523,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
