query_file,sub_plan,depth,op_name,op_type,time_sec,cardinality
# iter-1
10a.sql,0,0,,INVALID,0.000187,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000005,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000126,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.004422,4539
10a.sql,0,4,FILTER,FILTER,0.003994,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000383,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.092463,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.011185,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.032166,2294862
10a.sql,0,5,PROJECTION,PROJECTION,0.000023,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.006059,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000207,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000038,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000008,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.004714,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.067046,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000159,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001429,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000033,25874
10a.sql,1,7,FILTER,FILTER,0.158757,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.355701,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
10a.sql,1,7,SCAN_TEMP_COLLECTION,TABLE_SCAN,0.000018,4539
10a.sql,1,5,FILTER,FILTER,0.000015,1
10a.sql,1,6,PROJECTION,PROJECTION,0.000000,1
10a.sql,1,7,SEQ_SCAN,TABLE_SCAN,0.000093,1
# iter-2
10a.sql,0,0,,INVALID,0.000193,0
10a.sql,0,1,PROJECTION,PROJECTION,0.000004,4539
10a.sql,0,2,HASH_JOIN,HASH_JOIN,0.000145,4539
10a.sql,0,3,HASH_JOIN,HASH_JOIN,0.003739,4539
10a.sql,0,4,FILTER,FILTER,0.004030,5279
10a.sql,0,5,PROJECTION,PROJECTION,0.000369,5279
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.095021,5279
10a.sql,0,4,HASH_JOIN,HASH_JOIN,0.010789,8790
10a.sql,0,5,SEQ_SCAN,TABLE_SCAN,0.030248,2291341
10a.sql,0,5,PROJECTION,PROJECTION,0.000014,1361
10a.sql,0,6,SEQ_SCAN,TABLE_SCAN,0.003653,1361
10a.sql,0,3,SEQ_SCAN,TABLE_SCAN,0.000215,2
10a.sql,1,0,,INVALID,0.000002,0
10a.sql,1,1,UNGROUPED_AGGREGATE,UNGROUPED_AGGREGATE,0.000037,1
10a.sql,1,2,PROJECTION,PROJECTION,0.000007,104
10a.sql,1,3,HASH_JOIN,HASH_JOIN,0.005095,104
10a.sql,1,4,SEQ_SCAN,TABLE_SCAN,0.067943,2025
10a.sql,1,4,HASH_JOIN,HASH_JOIN,0.000140,112
10a.sql,1,5,HASH_JOIN,HASH_JOIN,0.001364,112
10a.sql,1,6,PROJECTION,PROJECTION,0.000031,25874
10a.sql,1,7,FILTER,FILTER,0.159240,25874
10a.sql,1,8,SEQ_SCAN,TABLE_SCAN,0.357815,12669571
10a.sql,1,6,PROJECTION,PROJECTION,0.000002,4539
