Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.226, , 0.224, 0.697, 0.316, 0.160, 1.934, 0.466, 1.005, 7.408, , , , 25.901, 38.337
0.172, , 0.163, 0.690, 0.335, 0.171, 2.101, 0.472, 1.183, 7.938, , , , 20.164, 33.389
0.164, , 0.203, 0.813, 0.342, 0.176, 2.185, 0.493, 1.191, 8.508, , , , 88.046, 102.121
0.141, , 0.156, 0.676, 0.320, 0.158, 1.985, 0.461, 1.119, 7.808, , , , 1.218, 14.042
0.128, , 0.142, 0.831, 0.316, 0.170, 2.030, 0.519, 1.252, 7.626, , , , 0.995, 14.009
0.259, 0.794, 0.137, 0.683, 0.421, 0.160, 2.087, 0.520, 1.194, 9.862, , , , 2.127, 18.244
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.154, , 0.169, 1.654, 0.295, 0.156, 1.920, 0.470, 1.078, 7.035, , , , 17.973, 30.904
0.109, , 0.173, 0.710, 0.360, 0.186, 2.337, 0.508, 1.238, 8.114, , , , 21.283, 35.018
0.172, , 0.231, 0.989, 0.548, 0.303, 2.333, 0.520, 1.225, 8.364, , , , 88.890, 103.575
0.186, , 0.179, 0.859, 0.494, 0.293, 2.185, 0.468, 1.111, 7.597, , , , 0.577, 13.949
0.136, , 0.140, 0.611, 0.315, 0.179, 2.161, 0.482, 1.268, 7.647, , , , 1.295, 14.234
0.300, 0.831, 0.176, 1.066, 0.482, 0.157, 2.051, 0.522, 1.215, 9.641, , , , 1.282, 17.723
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.190, , 0.222, 0.999, 0.421, 0.247, 2.825, 0.448, 0.972, 6.960, , , , 18.327, 31.611
0.182, , 0.236, 0.972, 0.527, 0.290, 2.211, 0.498, 1.191, 7.924, , , , 17.256, 31.287
0.740, , 0.195, 0.723, 0.379, 0.189, 2.194, 0.522, 1.240, 8.685, , , , 88.846, 103.713
0.112, , 0.150, 0.698, 0.341, 0.172, 2.064, 0.483, 1.129, 7.705, , , , 0.668, 13.522
0.186, , 0.181, 0.834, 0.503, 0.284, 2.610, 0.481, 1.301, 7.561, , , , 0.512, 14.453
0.300, 1.025, 0.256, 1.078, 0.468, 0.174, 2.115, 0.555, 1.193, 9.960, , , , 1.772, 18.896
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.147, , 0.207, 1.580, 0.483, 0.300, 3.473, 0.930, 1.337, 7.597, , , , 17.970, 34.024
0.209, , 0.254, 1.056, 0.521, 0.287, 2.444, 0.487, 1.195, 8.012, , , , 20.985, 35.450
