Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.618, 1.984, 0.315, 1.727, 0.720, 0.329, 4.330, 1.030, 2.867, 20.451, , , , 34.147, 68.518
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.504, 1.858, 0.379, 1.709, 0.710, 0.323, 4.419, 1.129, 2.836, 20.503, , , , 34.275, 68.645
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.551, 1.758, 0.274, 1.714, 0.699, 0.321, 4.360, 1.030, 2.896, 19.998, , , , 33.362, 66.963
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.520, 1.948, 0.307, 1.789, 0.714, 0.325, 4.459, 1.057, 2.885, 20.552, , , , 31.045, 65.601
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.505, 1.905, 0.371, 1.700, 0.718, 0.332, 4.409, 1.105, 2.858, 20.443, , , , 34.583, 68.929
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.656, 2.572, 0.303, 1.709, 0.785, 0.329, 4.392, 1.062, 2.932, 20.237, , , , 32.875, 67.852
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.509, 1.939, 0.296, 1.724, 0.774, 0.326, 4.375, 1.047, 2.936, 20.525, , , , 33.016, 67.467
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.723, 3.272, 0.430, 2.203, 0.705, 0.325, 4.411, 1.128, 2.860, 20.232, , , , 31.670, 67.959
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.556, 1.903, 0.301, 1.795, 0.716, 0.321, 4.446, 1.070, 2.894, 20.441, , , , 30.202, 64.645
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.658, 4.354, 0.298, 1.655, 0.693, 0.319, 4.299, 1.114, 2.802, 20.199, , , , 32.510, 68.901
, , , , , , , , , , , , , , 
