Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.201, , 0.501, 0.655, 0.303, 0.156, , , , , 0.160, 0.138, 0.020, 27.515, 29.649
0.146, , 0.504, 0.635, 0.315, 0.169, , , , , 0.173, 0.131, 0.020, 19.294, 21.387
0.159, , 0.458, 0.597, 0.330, 0.175, , , , , 0.175, 0.150, 0.021, 115.214, 117.279
0.123, , 0.614, 0.572, 0.299, 0.154, , , , , 0.160, 0.129, 0.021, 0.893, 2.965
0.106, , 0.357, 0.601, 0.284, 0.163, , , , , 0.169, 0.124, 0.017, 0.863, 2.684
0.317, 0.632, 0.359, 0.674, 0.386, 0.152, , , , , 0.163, 0.142, 0.017, 1.635, 4.477
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.129, , 0.547, 0.604, 0.262, 0.153, , , , , 0.148, 0.120, 0.020, 28.508, 30.491
0.107, , 0.496, 0.652, 0.349, 0.185, , , , , 0.189, 0.144, 0.021, 15.701, 17.844
0.112, , 0.622, 0.675, 0.361, 0.179, , , , , 0.188, 0.160, 0.021, 114.973, 117.291
0.106, , 0.573, 0.603, 0.308, 0.226, , , , , 0.160, 0.133, 0.021, 0.803, 2.933
0.133, , 0.459, 0.586, 0.281, 0.164, , , , , 0.171, 0.184, 0.016, 0.593, 2.587
0.222, 0.478, 0.354, 0.641, 0.393, 0.159, , , , , 0.169, 0.144, 0.017, 1.656, 4.233
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.150, , 0.462, 0.618, 0.272, 0.154, , , , , 0.158, 0.124, 0.021, 18.038, 19.997
0.159, , 0.469, 0.575, 0.318, 0.172, , , , , 0.174, 0.135, 0.021, 19.412, 21.435
0.849, , 0.495, 0.698, 0.344, 0.174, , , , , 0.180, 0.151, 0.022, 115.309, 118.222
0.234, , 0.597, 0.595, 0.307, 0.163, , , , , 0.163, 0.130, 0.021, 0.638, 2.848
0.140, , 0.450, 0.508, 0.283, 0.168, , , , , 0.177, 0.123, 0.016, 0.630, 2.495
1.881, 0.759, 0.381, 0.665, 0.451, 0.157, , , , , 0.167, 0.147, 0.020, 1.654, 6.282
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.134, , 0.643, 0.638, 0.267, 0.150, , , , , 0.151, 0.122, 0.020, 18.336, 20.461
0.167, , 0.486, 0.632, 0.369, 0.205, , , , , 0.181, 0.134, 0.020, 16.216, 18.410
0.199, , 0.640, 0.605, 0.335, 0.216, , , , , 0.179, 0.150, 0.020, 115.126, 117.470
0.154, , 0.588, 0.626, 0.311, 0.167, , , , , 0.168, 0.132, 0.019, 0.833, 2.998
0.105, , 0.360, 0.535, 0.286, 0.165, , , , , 0.173, 0.124, 0.015, 0.798, 2.561
0.759, 0.451, 0.379, 0.654, 0.406, 0.160, , , , , 0.171, 0.149, 0.019, 1.923, 5.071
