Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.602, 1.759, 0.581, 1.746, 0.735, 0.328, , , , , 0.374, 0.328, 0.029, 42.564, 49.046
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.729, 2.198, 0.578, 1.652, 0.690, 0.321, , , , , 0.367, 0.322, 0.026, 42.241, 49.124
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.515, 1.563, 0.531, 1.628, 0.671, 0.317, , , , , 0.370, 0.382, 0.025, 45.467, 51.469
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.495, 1.570, 0.501, 1.601, 0.670, 0.312, , , , , 0.433, 0.316, 0.025, 43.023, 48.946
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.625, 1.542, 0.564, 1.603, 0.687, 0.324, , , , , 0.368, 0.326, 0.031, 44.471, 50.541
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.473, 1.512, 0.595, 1.663, 0.686, 0.319, , , , , 0.369, 0.367, 0.052, 42.446, 48.482
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.636, 1.541, 0.527, 1.695, 0.692, 0.331, , , , , 0.370, 0.322, 0.025, 43.432, 49.571
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.998, 1.529, 0.538, 1.739, 0.706, 0.316, , , , , 0.359, 0.320, 0.024, 45.883, 53.412
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.525, 1.583, 0.538, 1.629, 0.686, 0.318, , , , , 0.363, 0.320, 0.025, 41.780, 47.767
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
2.805, 1.520, 0.596, 1.588, 0.677, 0.311, , , , , 0.357, 0.314, 0.028, 45.189, 53.385
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.699, 1.604, 0.579, 1.594, 0.682, 0.316, , , , , 0.372, 0.318, 0.026, 43.331, 49.521
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.589, 1.538, 0.553, 1.687, 0.678, 0.312, , , , , 0.368, 0.319, 0.026, 46.092, 52.162
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.615, 1.550, 0.571, 1.627, 0.694, 0.319, , , , , 0.371, 0.325, 0.025, 44.326, 50.423
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.488, 1.598, 0.618, 1.638, 0.695, 0.323, , , , , 0.366, 0.326, 0.025, 42.458, 48.535
, , , , , , , , , , , , , , 
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.677, 1.514, 0.546, 1.703, 0.675, 0.312, , , , , 0.363, 0.313, 0.026, 41.525, 48.654
