Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.415, 1.098, 0.196, 0.919, 0.301, 0.125, 1.568, 0.428, 0.825, 6.359, , , , 3.165, 15.399
0.279, 0.989, 0.111, 0.600, 0.260, 0.167, 1.840, 0.494, 0.890, 6.772, , , , 2.443, 14.845
0.305, 1.320, 0.134, 0.559, 0.302, 0.155, 1.769, 0.518, 1.010, 7.200, , , , 56.015, 69.287
0.194, 0.750, 0.100, 0.528, 0.215, 0.152, 1.643, 0.429, 0.947, 6.746, , , , 0.419, 12.123
0.237, 1.184, 0.099, 0.521, 0.242, 0.144, 1.619, 0.429, 0.967, 6.806, , , , 0.504, 12.752
0.280, 0.851, 0.136, 0.664, 0.499, 0.158, 2.022, 0.504, 1.234, 9.820, , , , 1.400, 17.568
0.311, 0.995, 0.133, 0.788, 0.297, 0.149, 1.433, 0.486, 0.727, 5.822, , , , 1.772, 12.913
0.262, 0.858, 0.098, 0.539, 0.236, 0.148, 1.694, 0.460, 0.898, 6.655, , , , 2.294, 14.142
0.277, 0.868, 0.140, 0.601, 0.307, 0.163, 1.908, 0.465, 1.076, 7.452, , , , 56.177, 69.434
0.264, 0.721, 0.105, 0.551, 0.220, 0.154, 1.724, 0.444, 0.954, 7.118, , , , 0.899, 13.154
0.208, 0.667, 0.098, 0.532, 0.239, 0.148, 1.694, 0.440, 0.948, 6.630, , , , 1.006, 12.610
0.282, 0.815, 0.174, 0.997, 0.728, 0.159, 2.036, 0.510, 1.217, 9.654, , , , 1.352, 17.924
0.338, 0.961, 0.136, 0.793, 0.303, 0.200, 1.525, 0.461, 0.729, 5.866, , , , 4.575, 15.887
0.300, 1.059, 0.143, 0.824, 0.334, 0.151, 1.708, 0.471, 0.894, 6.632, , , , 1.681, 14.197
0.317, 1.062, 0.164, 0.840, 0.451, 0.329, 1.893, 0.465, 1.030, 7.263, , , , 64.749, 78.563
0.251, 0.825, 0.132, 0.822, 0.348, 0.249, 1.698, 0.451, 0.952, 6.754, , , , 0.316, 12.798
0.195, 0.748, 0.101, 0.557, 0.246, 0.156, 1.700, 0.447, 0.963, 6.747, , , , 1.065, 12.925
0.265, 0.816, 0.175, 1.000, 0.498, 0.160, 2.054, 0.529, 1.202, 9.788, , , , 1.277, 17.764
0.302, 0.937, 0.132, 0.794, 0.313, 0.230, 1.630, 0.411, 0.738, 5.957, , , , 1.736, 13.180
0.268, 1.173, 0.103, 0.553, 0.248, 0.153, 1.785, 0.463, 0.896, 6.740, , , , 2.335, 14.717
0.280, 1.076, 0.134, 0.585, 0.302, 0.160, 1.858, 0.481, 1.082, 7.294, , , , 55.920, 69.172
0.269, 0.784, 0.129, 0.786, 0.333, 0.244, 1.725, 0.437, 0.934, 6.688, , , , 0.376, 12.705
0.259, 0.839, 0.107, 0.585, 0.248, 0.152, 1.737, 0.456, 0.966, 7.115, , , , 1.069, 13.533
0.245, 0.742, 0.134, 0.674, 0.419, 0.161, 2.077, 0.533, 1.198, 9.712, , , , 1.948, 17.843
0.318, 0.938, 0.133, 0.791, 0.357, 0.244, 2.680, 0.749, 0.728, 6.007, , , , 1.777, 14.722
0.253, 0.893, 0.102, 0.550, 0.245, 0.151, 1.722, 0.467, 0.932, 6.574, , , , 2.306, 14.195
0.331, 1.050, 0.177, 0.847, 0.492, 0.161, 1.813, 0.461, 1.045, 7.291, , , , 55.883, 69.551
0.216, 1.010, 0.100, 0.544, 0.244, 0.154, 1.702, 0.448, 0.955, 7.092, , , , 0.916, 13.381
0.213, 0.834, 0.102, 0.566, 0.244, 0.152, 1.716, 0.458, 0.964, 7.086, , , , 1.052, 13.387
0.231, 1.072, 0.136, 0.733, 0.406, 0.155, 2.018, 0.507, 1.217, 9.814, , , , 2.148, 18.437
0.276, 1.024, 0.123, 0.831, 0.341, 0.235, 2.684, 0.735, 0.960, 5.939, , , , 2.486, 15.634
0.320, 1.396, 0.141, 0.830, 0.291, 0.151, 1.802, 0.458, 0.881, 6.825, , , , 2.431, 15.526
0.321, 1.005, 0.131, 0.647, 0.295, 0.158, 1.800, 0.466, 1.103, 7.387, , , , 56.095, 69.408
