Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.339, 0.649, 0.398, 0.619, 0.253, 0.121, , , , , 0.128, 0.115, 0.020, 2.472, 5.114
0.320, 0.570, 0.384, 0.514, 0.201, 0.141, , , , , 0.131, 0.107, 0.022, 2.779, 5.169
0.265, 0.699, 0.435, 0.534, 0.302, 0.161, , , , , 0.165, 0.140, 0.022, 72.954, 75.677
0.218, 0.375, 0.470, 0.497, 0.185, 0.125, , , , , 0.119, 0.098, 0.021, 0.488, 2.596
0.178, 0.289, 0.314, 0.460, 0.215, 0.133, , , , , 0.127, 0.097, 0.017, 0.786, 2.616
0.273, 0.507, 0.337, 0.618, 0.389, 0.195, , , , , 0.158, 0.140, 0.019, 1.632, 4.268
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.297, 0.543, 0.355, 0.531, 0.190, 0.190, , , , , 0.120, 0.099, 0.021, 2.373, 4.719
0.319, 0.594, 0.327, 0.539, 0.199, 0.139, , , , , 0.135, 0.105, 0.019, 1.879, 4.255
0.287, 0.691, 0.358, 0.556, 0.287, 0.159, , , , , 0.162, 0.161, 0.019, 73.486, 76.166
0.263, 0.452, 0.515, 0.519, 0.193, 0.127, , , , , 0.124, 0.098, 0.022, 0.259, 2.572
0.185, 0.358, 0.309, 0.524, 0.213, 0.138, , , , , 0.187, 0.100, 0.017, 0.635, 2.666
0.215, 0.422, 0.341, 0.623, 0.385, 0.148, , , , , 0.161, 0.140, 0.018, 1.604, 4.057
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.267, 0.551, 0.362, 0.551, 0.201, 0.181, , , , , 0.118, 0.097, 0.021, 2.574, 4.923
0.266, 0.485, 0.330, 0.535, 0.197, 0.136, , , , , 0.130, 0.101, 0.019, 1.846, 4.045
0.268, 0.601, 0.379, 0.574, 0.286, 0.156, , , , , 0.168, 0.131, 0.019, 73.099, 75.681
0.253, 0.528, 0.595, 0.703, 0.201, 0.129, , , , , 0.124, 0.100, 0.021, 0.247, 2.901
0.184, 0.300, 0.336, 0.500, 0.212, 0.138, , , , , 0.135, 0.100, 0.017, 0.711, 2.633
0.248, 0.509, 0.330, 0.615, 0.388, 0.150, , , , , 0.161, 0.140, 0.018, 1.652, 4.211
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.271, 0.509, 0.409, 0.533, 0.195, 0.124, , , , , 0.122, 0.096, 0.021, 2.671, 4.951
0.344, 0.593, 0.341, 0.545, 0.198, 0.135, , , , , 0.135, 0.105, 0.020, 1.813, 4.229
0.300, 0.700, 0.364, 0.625, 0.287, 0.161, , , , , 0.165, 0.134, 0.020, 72.955, 75.711
0.285, 0.456, 0.351, 0.544, 0.195, 0.130, , , , , 0.127, 0.100, 0.021, 0.312, 2.521
0.179, 0.310, 0.340, 0.555, 0.216, 0.138, , , , , 0.137, 0.101, 0.017, 0.627, 2.620
0.242, 0.540, 0.522, 0.838, 0.386, 0.148, , , , , 0.159, 0.138, 0.017, 1.571, 4.561
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.245, 0.560, 0.383, 0.578, 0.202, 0.132, , , , , 0.130, 0.102, 0.022, 2.152, 4.506
0.247, 0.581, 0.341, 0.542, 0.202, 0.160, , , , , 0.140, 0.108, 0.019, 1.643, 3.983
0.293, 0.780, 0.409, 0.574, 0.293, 0.157, , , , , 0.161, 0.131, 0.020, 73.017, 75.835
0.258, 0.436, 0.346, 0.546, 0.193, 0.127, , , , , 0.123, 0.098, 0.019, 0.229, 2.375
0.192, 0.290, 0.305, 0.477, 0.207, 0.138, , , , , 0.128, 0.100, 0.017, 0.628, 2.482
0.242, 0.545, 0.339, 0.615, 0.388, 0.149, , , , , 0.159, 0.139, 0.018, 1.593, 4.187
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.272, 0.546, 0.368, 0.556, 0.199, 0.123, , , , , 0.121, 0.098, 0.022, 1.971, 4.276
0.274, 0.504, 0.337, 0.528, 0.196, 0.213, , , , , 0.133, 0.102, 0.020, 2.094, 4.401
0.305, 0.657, 0.356, 0.533, 0.288, 0.161, , , , , 0.162, 0.135, 0.021, 73.006, 75.624
0.290, 0.597, 0.486, 0.658, 0.203, 0.132, , , , , 0.124, 0.100, 0.021, 0.920, 3.531
0.192, 0.383, 0.326, 0.542, 0.222, 0.141, , , , , 0.133, 0.102, 0.018, 0.660, 2.719
0.254, 0.518, 0.348, 0.642, 0.385, 0.148, , , , , 0.159, 0.142, 0.017, 1.654, 4.267
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.264, 0.558, 0.358, 0.566, 0.261, 0.124, , , , , 0.120, 0.100, 0.022, 2.235, 4.608
0.336, 0.490, 0.363, 0.534, 0.192, 0.136, , , , , 0.134, 0.102, 0.019, 1.801, 4.107
0.232, 0.643, 0.358, 0.540, 0.290, 0.163, , , , , 0.162, 0.133, 0.020, 72.943, 75.484
0.275, 0.488, 0.510, 0.519, 0.190, 0.130, , , , , 0.124, 0.101, 0.020, 0.219, 2.576
0.173, 0.300, 0.318, 0.527, 0.216, 0.137, , , , , 0.130, 0.099, 0.018, 0.690, 2.608
0.264, 0.550, 0.331, 0.627, 0.388, 0.152, , , , , 0.162, 0.139, 0.018, 1.673, 4.304
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.295, 0.757, 0.552, 0.891, 0.341, 0.238, , , , , 0.216, 0.152, 0.022, 2.459, 5.923
