Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.604, 1.612, 0.700, 1.701, 0.715, 0.320, , , , , 0.371, 0.319, 0.027, 36.497, 42.866
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.630, 1.482, 0.540, 1.618, 0.719, 0.331, , , , , 0.374, 0.324, 0.024, 35.866, 41.908
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.466, 1.560, 0.524, 1.741, 0.708, 0.320, , , , , 0.378, 0.314, 0.026, 36.345, 42.382
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.449, 1.556, 0.539, 1.587, 0.757, 0.317, , , , , 0.371, 0.313, 0.024, 36.998, 42.911
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.867, 1.467, 0.539, 1.656, 0.713, 0.332, , , , , 0.376, 0.319, 0.026, 35.916, 42.211
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.462, 1.482, 0.540, 1.715, 0.715, 0.330, , , , , 0.399, 0.322, 0.024, 39.616, 45.605
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.436, 1.450, 0.537, 1.675, 0.709, 0.324, , , , , 0.388, 0.319, 0.026, 38.364, 44.228
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.494, 1.517, 0.544, 1.685, 0.719, 0.326, , , , , 0.378, 0.320, 0.025, 36.399, 43.407
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
1.631, 1.539, 0.527, 1.606, 0.705, 0.334, , , , , 0.376, 0.318, 0.026, 36.196, 43.258
