Running benchmark for /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql...
frontend, QOpt, lowerRelAlg, lowerSubOp, lowerDB, lowerArrow, lowerToLLVM, toLLVMIR, llvmOptimize, llvmCodeGen, baselineLowering, baselineCodeGen, baselineEmit, executionTime, total
0.379, 0.730, 0.373, 0.669, 0.223, 0.123, , , , , 0.130, 0.115, 0.021, 2.498, 5.261
0.383, 0.605, 0.336, 0.528, 0.238, 0.158, , , , , 0.140, 0.118, 0.022, 2.457, 4.985
0.266, 0.713, 0.443, 0.556, 0.307, 0.161, , , , , 0.163, 0.139, 0.022, 71.973, 74.743
0.277, 0.427, 0.343, 0.590, 0.212, 0.148, , , , , 0.137, 0.115, 0.020, 0.575, 2.844
0.215, 0.513, 0.301, 0.467, 0.259, 0.140, , , , , 0.133, 0.105, 0.017, 0.643, 2.793
0.258, 0.503, 0.343, 0.613, 0.401, 0.210, , , , , 0.165, 0.148, 0.017, 1.615, 4.273
0.340, 0.751, 0.547, 0.801, 0.337, 0.240, , , , , 0.213, 0.151, 0.022, 2.226, 5.628
0.347, 0.476, 0.336, 0.592, 0.228, 0.149, , , , , 0.140, 0.116, 0.019, 2.054, 4.457
0.365, 0.723, 0.389, 0.529, 0.283, 0.161, , , , , 0.158, 0.131, 0.019, 71.733, 74.491
0.317, 0.538, 0.352, 0.534, 0.206, 0.149, , , , , 0.141, 0.115, 0.020, 0.236, 2.608
0.194, 0.595, 0.440, 0.488, 0.222, 0.148, , , , , 0.133, 0.106, 0.017, 0.686, 3.029
0.210, 0.460, 0.366, 0.718, 0.400, 0.157, , , , , 0.171, 0.151, 0.019, 1.590, 4.242
0.265, 0.492, 0.338, 0.522, 0.193, 0.122, , , , , 0.118, 0.099, 0.023, 2.177, 4.349
0.245, 0.535, 0.350, 0.534, 0.230, 0.225, , , , , 0.143, 0.120, 0.021, 1.988, 4.391
0.195, 0.590, 0.376, 0.559, 0.303, 0.169, , , , , 0.173, 0.139, 0.020, 71.768, 74.292
0.227, 0.473, 0.348, 0.565, 0.208, 0.147, , , , , 0.143, 0.116, 0.021, 0.549, 2.797
0.178, 0.382, 0.302, 0.476, 0.267, 0.144, , , , , 0.141, 0.110, 0.017, 0.480, 2.497
0.238, 0.490, 0.322, 0.606, 0.395, 0.157, , , , , 0.168, 0.190, 0.017, 1.569, 4.152
0.436, 0.797, 0.537, 0.845, 0.344, 0.242, , , , , 0.215, 0.150, 0.024, 2.265, 5.855
0.286, 0.591, 0.323, 0.574, 0.231, 0.149, , , , , 0.141, 0.116, 0.018, 4.561, 6.990
0.293, 0.676, 0.367, 0.617, 0.285, 0.158, , , , , 0.164, 0.133, 0.019, 71.690, 74.402
0.270, 0.573, 0.340, 0.575, 0.206, 0.147, , , , , 0.140, 0.116, 0.020, 0.382, 2.769
0.193, 0.436, 0.346, 0.526, 0.223, 0.148, , , , , 0.135, 0.112, 0.019, 0.670, 2.808
0.244, 0.482, 0.334, 0.603, 0.395, 0.156, , , , , 0.167, 0.145, 0.017, 1.520, 4.063
0.330, 0.745, 0.454, 0.533, 0.197, 0.125, , , , , 0.119, 0.099, 0.022, 2.103, 4.727
0.307, 0.759, 0.526, 0.848, 0.406, 0.296, , , , , 0.292, 0.115, 0.019, 2.117, 5.685
0.307, 0.723, 0.376, 0.542, 0.288, 0.161, , , , , 0.163, 0.133, 0.019, 74.685, 77.397
0.219, 0.421, 0.348, 0.543, 0.210, 0.146, , , , , 0.188, 0.117, 0.020, 0.238, 2.450
0.198, 0.432, 0.334, 0.514, 0.221, 0.150, , , , , 0.134, 0.107, 0.016, 0.870, 2.976
0.262, 0.505, 0.351, 0.623, 0.403, 0.161, , , , , 0.169, 0.151, 0.018, 1.621, 4.264
0.281, 0.717, 0.582, 0.834, 0.340, 0.242, , , , , 0.216, 0.150, 0.022, 2.337, 5.721
0.257, 0.529, 0.342, 0.547, 0.233, 0.148, , , , , 0.140, 0.119, 0.019, 1.982, 4.316
0.380, 0.583, 0.386, 0.648, 0.290, 0.159, , , , , 0.164, 0.136, 0.022, 71.773, 74.541
0.259, 0.545, 0.335, 0.609, 0.212, 0.146, , , , , 0.142, 0.114, 0.020, 0.340, 2.722
0.223, 0.538, 0.315, 0.495, 0.223, 0.145, , , , , 0.214, 0.113, 0.019, 0.460, 2.745
